year,month,lat,lng,probability
0,4,-3,348,0.00036
0,4,-3,349,0.00040
0,4,-3,350,0.00052
0,4,-3,351,0.00062
0,4,-3,352,0.00067
0,4,-3,353,0.00069
0,4,-3,354,0.00081
0,4,-3,355,0.00103
0,4,-3,356,0.00144
0,4,-3,357,0.00131
0,4,-3,358,0.00107
0,4,-3,359,0.00152
0,4,-2,0,0.00109
0,4,-2,1,0.00049
0,4,-2,318,0.00026
0,4,-2,320,0.00540
0,4,-2,338,0.00046
0,4,-2,340,0.00050
0,4,-2,341,0.00102
0,4,-2,342,0.00030
0,4,-2,345,0.00057
0,4,-2,346,0.00279
0,4,-2,347,0.00088
0,4,-2,348,0.00030
0,4,-2,349,0.00045
0,4,-2,350,0.00038
