year,month,lat,lng,probability
0,4,-42,44,0.00037
0,4,-42,45,0.00110
0,4,-42,46,0.00049
0,4,-42,47,0.00109
0,4,-42,49,0.00248
0,4,-42,50,0.00027
0,4,-42,51,0.00278
0,4,-42,52,0.00102
0,4,-42,53,0.00043
0,4,-42,54,0.00070
0,4,-42,55,0.00031
0,4,-42,57,0.00041
0,4,-42,58,0.00207
0,4,-42,59,0.00136
0,4,-42,60,0.00098
0,4,-42,64,0.00039
0,4,-42,65,0.00116
0,4,-42,66,0.00061
0,4,-42,70,0.00072
0,4,-42,71,0.00124
0,4,-42,72,0.00107
0,4,-41,23,0.00034
0,4,-41,24,0.00039
0,4,-41,25,0.00064
0,4,-41,26,0.00057
0,4,-41,27,0.00037
0,4,-41,28,0.00312
0,4,-41,29,0.00059
0,4,-41,30,0.00228
0,4,-41,31,0.00196
0,4,-41,32,0.00676
0,4,-41,33,0.00893
0,4,-41,34,0.00436
0,4,-41,35,0.00918
0,4,-41,36,0.00144
0,4,-41,37,0.00102
0,4,-41,38,0.00815
0,4,-41,39,0.00049
