year,month,lat,lng,probability
0,4,11,153,0.00063
0,4,11,154,0.00035
0,4,12,125,0.00137
0,4,12,126,0.00113
0,4,12,127,0.00095
0,4,12,128,0.00188
0,4,12,129,0.00053
0,4,12,130,0.00074
0,4,12,131,0.00090
0,4,12,132,0.00068
0,4,12,133,0.00038
0,4,12,134,0.00109
0,4,12,135,0.00119
0,4,12,136,0.00114
0,4,12,137,0.00042
0,4,12,138,0.00081
0,4,12,139,0.00092
0,4,12,140,0.00104
0,4,12,141,0.00054
0,4,12,142,0.00055
0,4,12,143,0.00031
0,4,12,144,0.00122
0,4,12,145,0.00185
0,4,12,146,0.00190
0,4,12,147,0.00034
0,4,12,148,0.00071
0,4,12,149,0.00042
0,4,12,150,0.00035
0,4,12,152,0.00030
0,4,13,124,0.00043
0,4,13,125,0.00122
0,4,13,126,0.00110
0,4,13,127,0.00077
0,4,13,129,0.00041
0,4,13,130,0.00133
0,4,13,131,0.00041
0,4,13,134,0.00112
0,4,13,135,0.00049
0,4,13,136,0.00029
0,4,13,138,0.00094
0,4,13,139,0.00079
0,4,13,140,0.00027
0,4,13,141,0.00029
0,4,13,142,0.00038
0,4,13,143,0.00110
0,4,13,144,0.00133
0,4,13,145,0.00266
0,4,13,146,0.00086
0,4,13,147,0.00085
0,4,14,124,0.00080
0,4,14,125,0.00066
0,4,14,126,0.00047
0,4,14,127,0.00143
0,4,14,128,0.00090
0,4,14,129,0.00158
0,4,14,130,0.00115
0,4,14,131,0.00050
0,4,14,133,0.00026
0,4,14,134,0.00035
0,4,14,136,0.00107
0,4,14,138,0.00035
0,4,14,139,0.00033
0,4,14,140,0.00054
0,4,14,141,0.00049
0,4,14,142,0.00179
0,4,14,143,0.00046
0,4,14,146,0.00046
0,4,15,123,0.00037
0,4,15,124,0.00110
0,4,15,127,0.00145
0,4,15,128,0.00108
0,4,15,129,0.00039
0,4,15,130,0.00026
0,4,15,131,0.00091
0,4,15,140,0.00083
0,4,15,150,0.00091
0,4,16,123,0.00084
0,4,16,128,0.00066
0,4,16,140,0.00044
0,4,16,141,0.00053
0,4,16,142,0.00037
0,4,16,143,0.00092
0,4,16,144,0.00026
0,4,16,150,0.00045
0,4,17,128,0.00029
0,4,17,130,0.00027
0,4,17,131,0.00066
0,4,17,133,0.00050
0,4,17,139,0.00047
0,4,17,140,0.00084
0,4,17,141,0.00034
0,4,17,144,0.00039
0,4,18,124,0.00045
0,4,18,130,0.00026
0,4,18,134,0.00042
0,4,18,137,0.00036
0,4,18,138,0.00028
0,4,18,139,0.00067
0,4,18,141,0.00048
0,4,19,124,0.00142
0,4,19,126,0.00026
0,4,19,129,0.00055
0,4,19,143,0.00028
0,4,20,124,0.00060
0,4,20,125,0.00089
0,4,20,126,0.00031
0,4,20,144,0.00069
0,4,21,144,0.00042
0,6,-16,114,0.00054
0,6,-14,113,0.00026
0,6,-13,113,0.00043
0,6,-13,114,0.00056
0,6,-13,115,0.00039
0,6,-13,116,0.00036
0,6,-13,117,0.00055
0,6,-13,171,0.00150
0,6,-12,111,0.00033
0,6,-12,112,0.00078
0,6,-12,113,0.00037
0,6,-12,114,0.00070
0,6,-12,115,0.00039
0,6,-12,116,0.00082
0,6,-12,117,0.00093
0,6,-12,118,0.00174
0,6,-12,119,0.00054
0,6,-12,121,0.00057
0,6,-12,172,0.00097
0,6,-11,114,0.00071
0,6,-11,115,0.00298
0,6,-11,116,0.00084
0,6,-11,117,0.00103
0,6,-11,118,0.00143
0,6,-11,119,0.00108
0,6,-11,121,0.00109
0,6,-10,115,0.00103
0,6,-10,116,0.00107
0,6,-10,117,0.00057
0,6,-10,118,0.00243
0,6,-10,119,0.00031
0,6,-10,120,0.00025
0,6,-10,121,0.00029
0,6,-10,122,0.00027
0,6,-9,115,0.00082
0,6,-9,116,0.00089
0,6,-9,117,0.00027
0,6,-9,118,0.00068
0,6,-9,119,0.00302
0,6,-9,120,0.00297
0,6,-9,121,0.00217
0,6,-9,122,0.00058
0,6,-9,123,0.00037
0,6,-9,150,0.00075
0,6,-8,114,0.00098
0,6,-8,115,0.00038
0,6,-8,116,0.00161
0,6,-8,117,0.00038
0,6,-8,118,0.00264
0,6,-8,119,0.00370
0,6,-8,120,0.00490
0,6,-8,121,0.00496
0,6,-8,122,0.00085
0,6,-8,155,0.00032
0,6,-7,111,0.00037
0,6,-7,112,0.00120
0,6,-7,113,0.00181
0,6,-7,114,0.00162
0,6,-7,115,0.00061
0,6,-7,116,0.00041
0,6,-7,153,0.00086
0,6,-7,154,0.00054
0,6,-6,110,0.00033
0,6,-6,111,0.00164
0,6,-6,112,0.00186
0,6,-6,113,0.00143
0,6,-6,114,0.00084
0,6,-6,115,0.00055
0,6,-6,116,0.00040
0,6,-5,110,0.00035
0,6,-5,111,0.00077
0,6,-5,112,0.00099
0,6,-5,113,0.00084
0,6,-5,114,0.00099
0,6,-5,115,0.00069
0,6,-5,116,0.00072
0,6,-5,117,0.00031
0,6,-4,116,0.00041
0,6,-4,117,0.00048
0,6,-3,116,0.00033
0,6,-3,117,0.00044
0,6,-3,118,0.00028
0,6,-3,158,0.00032
0,6,-3,159,0.00054
0,6,-2,116,0.00038
0,6,-2,117,0.00049
0,6,-2,118,0.00040
0,6,-2,147,0.00055
0,6,-2,148,0.00112
0,6,-2,155,0.00032
0,6,-1,118,0.00027
0,6,-1,119,0.00039
0,6,-1,136,0.00393
0,6,-1,137,0.00220
0,6,-1,147,0.00035
0,6,-1,152,0.00043
0,6,-1,155,0.00065
0,6,-1,158,0.00029
0,6,0,136,0.00117
0,6,0,137,0.00895
0,6,0,138,0.00224
0,6,0,141,0.00098
0,6,0,142,0.00069
0,6,0,153,0.00078
0,6,0,154,0.00055
0,6,0,155,0.00188
0,6,1,119,0.00129
0,6,1,120,0.00100
0,6,1,121,0.00456
0,6,1,135,0.00031
0,6,1,138,0.00080
0,6,1,139,0.00160
0,6,1,140,0.00224
0,6,1,141,0.00182
0,6,1,144,0.00029
0,6,1,149,0.00048
0,6,1,150,0.00383
0,6,1,151,0.00038
0,6,1,153,0.00062
0,6,2,119,0.00123
0,6,2,120,0.00064
0,6,2,121,0.00505
0,6,2,122,0.00481
0,6,2,123,0.00067
0,6,2,132,0.00047
0,6,2,135,0.00094
0,6,2,137,0.00079
0,6,2,142,0.00052
0,6,2,145,0.00037
0,6,2,146,0.00043
0,6,2,147,0.00043
0,6,2,148,0.00038
0,6,2,149,0.00042
0,6,2,150,0.00097
0,6,3,119,0.00770
0,6,3,120,0.01165
0,6,3,121,0.00083
0,6,3,122,0.00097
0,6,3,123,0.00120
0,6,3,124,0.00059
0,6,3,125,0.00031
0,6,3,126,0.00348
0,6,3,127,0.00134
0,6,3,128,0.00185
0,6,3,129,0.00032
0,6,3,134,0.00155
0,6,3,135,0.00130
0,6,3,136,0.01304
0,6,3,137,0.00524
0,6,3,138,0.00723
0,6,3,139,0.00299
0,6,3,140,0.00100
0,6,3,141,0.00133
0,6,3,144,0.00028
0,6,3,145,0.00030
0,6,3,146,0.00026
0,6,3,147,0.00050
0,6,3,148,0.00039
0,6,3,149,0.00052
0,6,3,150,0.00042
0,6,3,151,0.00036
0,6,3,153,0.00086
0,6,3,155,0.00049
0,6,3,156,0.00098
0,6,3,157,0.00082
0,6,3,158,0.00028
0,6,3,161,0.00031
0,6,4,120,0.00029
0,6,4,121,0.00044
0,6,4,122,0.00043
0,6,4,123,0.00040
0,6,4,124,0.00038
0,6,4,125,0.01148
0,6,4,127,0.00037
0,6,4,128,0.00029
0,6,4,129,0.00135
0,6,4,130,0.00093
0,6,4,132,0.00046
0,6,4,133,0.00413
0,6,4,134,0.00339
0,6,4,135,0.00541
0,6,4,136,0.00061
0,6,4,137,0.00036
0,6,4,138,0.00034
0,6,4,140,0.00507
0,6,4,141,0.00036
0,6,4,142,0.00026
0,6,4,143,0.00039
0,6,4,144,0.00049
0,6,4,145,0.00032
0,6,4,146,0.00089
0,6,4,147,0.00077
0,6,4,148,0.00533
0,6,4,149,0.00298
0,6,4,150,0.00083
0,6,4,151,0.00205
0,6,4,152,0.00527
0,6,4,153,0.00257
0,6,4,154,0.00083
0,6,4,155,0.00073
0,6,4,156,0.00093
0,6,4,157,0.00069
0,6,4,158,0.00071
0,6,4,159,0.00050
0,6,4,160,0.00041
0,6,4,161,0.00047
0,6,4,162,0.00048
0,6,4,163,0.00056
0,6,4,164,0.00046
0,6,5,122,0.00062
0,6,5,123,0.00049
0,6,5,124,0.00039
0,6,5,126,0.00471
0,6,5,130,0.00050
0,6,5,131,0.00172
0,6,5,132,0.00281
0,6,5,133,0.00371
0,6,5,134,0.00256
0,6,5,135,0.00356
0,6,5,136,0.00582
0,6,5,137,0.00351
0,6,5,138,0.01569
0,6,5,139,0.00160
0,6,5,140,0.00060
0,6,5,141,0.00028
0,6,5,143,0.00027
0,6,5,144,0.00042
0,6,5,145,0.00070
0,6,5,146,0.00095
0,6,5,147,0.00072
0,6,5,148,0.00072
0,6,5,149,0.00059
0,6,5,150,0.00066
0,6,5,151,0.00052
0,6,5,152,0.00085
0,6,5,153,0.00058
0,6,5,154,0.00040
0,6,5,155,0.00030
0,6,5,156,0.00036
0,6,5,157,0.00026
0,6,5,164,0.00030
0,6,6,123,0.00141
0,6,6,127,0.00295
0,6,6,128,0.00426
0,6,6,129,0.00079
0,6,6,130,0.00031
0,6,6,131,0.00199
0,6,6,132,0.00626
0,6,6,133,0.00407
0,6,6,134,0.01121
0,6,6,135,0.00034
0,6,6,136,0.00976
0,6,6,137,0.00529
0,6,6,138,0.00106
0,6,6,139,0.00289
0,6,6,140,0.00150
0,6,6,141,0.00204
0,6,6,142,0.00059
0,6,6,143,0.00114
0,6,6,144,0.00054
0,6,6,145,0.00037
0,6,6,146,0.00067
0,6,6,147,0.00029
0,6,6,149,0.00032
0,6,6,150,0.00025
0,6,6,151,0.00036
0,6,6,152,0.00033
0,6,6,157,0.00032
0,6,7,123,0.00085
0,6,7,127,0.00235
0,6,7,129,0.00684
0,6,7,130,0.00351
0,6,7,131,0.00212
0,6,7,132,0.00039
0,6,7,133,0.00059
0,6,7,134,0.00335
0,6,7,135,0.01317
0,6,7,136,0.00548
0,6,7,137,0.00340
